statenum,casenum,vnumber,pnumber,atmcond,acctime,dayofweek,holiday,numfatal,speeding,age,alcres,drugres3,sex,vfatcount,commlic,dricondatcrashtime,malcohol,dridistract,drivisobs
45,897,1,2,1,1820,6,9,2,1,50,996,0,1,2,0,0,1,0,0
47,892,1,1,10,1143,7,9,1,0,50,123,0,1,1,6,99,1,0,0
48,3164,1,11,2,515,1,9,1,0,50,996,0,1,1,0,0,0,0,0
51,705,2,1,1,2314,5,9,1,1,50,0,0,1,1,0,0,0,0,0
51,706,1,1,1,2118,7,9,1,1,50,0,0,1,1,0,99,0,96,0
1,698,2,1,2,1827,6,9,1,0,49,996,0,1,0,0,0,0,0,0
12,2598,2,1,1,1646,6,9,1,0,49,996,0,1,0,0,0,0,0,0
12,2624,3,1,1,27,1,9,1,0,49,995,0,1,0,0,0,0,0,0
13,1309,1,1,10,1845,6,9,1,0,49,265,0,1,1,0,99,1,0,0
17,935,1,1,1,153,7,9,1,0,49,257,0,1,1,0,98,1,0,0
17,941,1,2,99,2305,1,9,2,0,49,107,0,2,2,99,9,1,0,0
21,664,1,1,10,2014,7,9,1,0,49,165,0,1,1,8,9,1,0,0
26,910,1,1,1,1803,5,9,1,0,49,996,0,1,0,0,0,0,0,0
26,910,2,1,1,1803,5,9,1,0,49,996,0,2,0,0,0,0,0,0
28,563,1,1,2,520,6,9,1,0,49,996,0,1,0,0,0,0,96,0
42,947,1,1,1,1824,6,9,1,1,49,264,0,1,1,0,9,1,92,0
42,1102,3,1,1,1101,1,9,1,1,49,996,0,1,0,0,0,0,0,0
48,3092,1,1,1,2156,7,9,1,0,49,0,0,1,1,6,0,0,93,0
48,3169,1,1,1,1910,5,9,1,0,49,310,0,1,1,0,0,1,93,0
48,3170,1,1,4,806,1,9,1,0,49,996,0,1,1,0,0,0,0,0
6,2853,2,1,10,2107,6,9,1,1,48,996,0,1,0,6,98,0,96,0
12,2599,1,2,1,1730,7,9,3,0,48,995,0,2,3,0,99,0,99,0
13,1312,1,1,1,1810,6,9,1,0,48,0,0,2,0,0,0,0,0,2
22,658,2,1,10,1845,6,9,1,0,48,0,0,1,0,0,0,1,0,0
35,271,3,1,4,1647,7,9,2,1,48,996,0,1,1,0,0,0,0,0
37,1283,2,2,1,1922,6,9,1,0,48,996,0,2,0,0,0,0,0,0
39,1027,1,1,2,1933,7,9,1,0,48,996,0,1,0,0,0,0,0,0
42,1102,3,2,1,1101,1,9,1,1,48,996,0,2,0,0,0,0,0,0
45,898,1,1,1,115,7,9,1,0,48,997,0,2,0,0,9,1,15,0
47,881,1,1,2,36,7,9,1,0,48,999,0,1,0,0,99,0,99,0
21,663,1,2,10,1149,6,9,1,1,47,996,0,1,1,0,1,0,0,0
24,458,2,1,10,1745,1,9,1,0,47,996,0,1,0,0,0,0,1,0
